sentence_a,sentence_b,label
这句日文的意思是什么？,这句日文的意思？,1
武林外传有第二部吗？,武林外传什么时候有第二部,0
淘宝店铺好听的名字,推荐几个好的淘宝店铺吧,0
米赚真的可以赚钱吗,聚赚网是真的赚钱吗,0
小二这里给您的建议是后续尝试开通,小二给您这个几个建议您可以尝试一下.,0
谁能推荐我几个好玩的小游戏？,谁能推荐几个不错的小游戏网站,0
男生瓜子脸适合剪什么发型？,瓜子脸男生适合什么发型,1
李宇春那又怎样,李宇春是怎么死的,0
为什么打麻将老是输,打牌为什么老是输,0
女人下面是什么样子的,女人下面是什么样子图,1
求鬼畜眼镜全果实存档,求鬼畜眼镜果实存档！,1
有谁知道这是什么东西吗,谁知道这是什么东西啊？,1
求高手给我PS凡客体扣1362778635,求：凡客体·黄金十二宫系列的图片,0
怎么可以让胸部快速变大,怎样快速让胸部变大,1
中国当代文学史：两结合名词解释,答题：中国现当代文学史,0
怎么取得一叶子新鲜面膜授权？,一叶子新鲜面膜怎么取得授权？,1
四大名捕大结局在哪可以看到,四大名捕大结局，如去哪能看,1
怎么注册人人网,怎样注册人人网,1
生日礼物送什么好给长辈,给长辈送生日礼物，送什么好？,1
你好，我可以叫你妈妈吗？,妈妈给我的东西我可以吃吗,0
绿豆发芽了还能吃吗,鸡被狗咬死了，鸡还可以吃吗？,0
不尽长江滚滚来的前一句是什么,不尽长江滚滚来的上一句是什么,1
摸鱼是什么意思啊？,贴吧摸鱼什么意思,1
为什么特百惠的杯子那么贵？,大众的甲壳虫为什么那么贵？,0
沉默代表什么？,沉默，代表什么,1
张牙舞爪又不凶是什么动物,张牙舞爪是什么动物,0
求图片出自什么电影？,这图片出自什么电影,1
关于诚信的名言有哪些,关于诚实的名言有哪些,1
侠岚第六季什么时候出,侠岚第六季什么时候可以看？,1
如何用手机下载迅雷资源,迅雷下载`那个网站资源多啊,0
中国哪地震了,中国的地震感,0
男人的责任是什么？,什么是男人的责任？,1
过年有什么地方好玩的,过年有什么好玩的地方？,1
可爱和漂亮有什么区别？,可爱和漂亮有什么区别,1
科比会超越乔丹吗,科比会超越乔丹吗？,1
淘宝如何联系客服,怎么联系淘宝客服,1
学英语有什么技巧吗,学化妆有前途没,0
这个题让干什么,这么冷的天干什么好,0
肾炎传染吗？,肾炎会传染吗？,1
我国最大的淡水湖是什么湖,我国最大的淡水湖是哪个啊,1
陶瓷刀哪家好？,陶瓷刀好么？,0
您已经是还款几期了？,请问您已经还款了吗？,0
中国的传统文化有哪些?,中国传统文化资料有哪些?,0
胃溃疡能吃什么,吃什么能长胡子,0
穿越梦幻西游的小说,梦幻西游穿越的小说,1
这是什么发型啊！,这是什么发型，怎么剪出来？,1
梦见捡钱又给别人了,做梦梦到捡钱，捡到后又仍掉了！,0
幸福爱人的结局是什么？,幸福爱人大结局是什么,1
情人节唱给男朋友什么歌,情人节送男朋友什么好呢,0
淘宝退货怎么退,淘宝上退货怎么退,1
为什么我会长头发,为什么人会长头发,1
最近有什么电视好看？,最近有什么电视好看呢？,1
疯狂猜成语中这个是什么答案,疯狂猜成语、这个是什么答案呀？,1
娇妻如云泠雨的,娇妻如云泠雨,1
海贼王这是第几集,这是海贼王里的第几集,1
好听的奶茶果汁名字,好听时尚的奶茶汉堡店名贵求一好名字,0
日语亲爱的怎么说？,猪、亲爱的我想你了日语怎么说,0
怎么打开谷歌,怎么样打开谷歌,1
穿越或者古代的小说,古代穿越的小说,1
永可以加什么偏旁部首,羊和丑可以组成什么字,0
陈学冬不再见空间链接,陈学冬的「不再见」歌词,0
有什么好看的小说吗？言情的,有什么好看的小说言情,1
百度云回收站在哪,百度云回收站,1
怎么样申请户口,迁户口的申请怎么写,0
江苏省府在哪,我是江苏省的,0
成人高考和自考，哪个好,自考跟成人高考哪个好？,1
关于考驾照的问题,考驾照的问题,1
这是干嘛用的？,这是干嘛用的…,1
做完包皮手术几天就可以拆线的啊,包皮手术后一般几天可以拆线？,1
稍等，小二为您查询一下,您好，请您稍等片刻，云小二这就立刻为您查询哦。,1
路由器怎么修,这个路由器怎么样？,0
余额宝转支付宝怎么转,手机余额宝怎么转到支付宝,1
梦幻西游小游戏怎么玩？,怎么玩梦幻西游小游戏,1
一句话形容自己,请用一句话，证明你很穷，,0
怎么才能减掉小肚子上的肉，急,怎么才能把小肚子减掉！,1
找一部电视剧，民国时期的,求一部电视剧，民国时期的,1
在家就能赚钱的工作有哪些,请问都有哪些工作可以在家上班,1
经常生吃红萝卜有什么好处和坏处,生吃红萝卜有什么好处呢,1
小二会给您转接到相关客服,稍等下的亲。这边给您详细记录下您的问题的亲以便相关客服给您解答的亲、,0
出水是什么意思？,添出水来是什么意思,0
怎样才能把腿瘦下来,怎样才能让腿瘦下来,1
最近有什么娱乐新闻,和部落冲突一样的游戏有什么,0
大脸女孩适合什么发型,大脸的女孩适合什么发型,1
下载什么软件可以改变手机的字体,手机下载的字体到底在哪里啊？,0
朋友失恋了，要怎么安慰她。,朋友失恋了怎么安慰她！,1
你喜欢什么颜色的内衣,在你的心中你最喜欢什么颜色,0
如何内地买港股？,如何能喜欢上英语？,0
请问这位美女叫什么名字,请问这位美女叫什么名字啊！,1
您的红包是参加什么活动获得的呢,您参加的什么活动获得的红包呢,1
洞房是什么？,什么叫洞房？,1
沈阳现在下雨呢吗,沈阳现在还下雨么,1
这个女孩好看吗？,这个女孩好看吗？。,1
天涯明月刀的插曲,天涯明月刀的简介,0
命运可以自己改变吗,命运自己可以改变吗?,1
什么歌好听，求介绍？,什么歌好听，介绍下？,1
这个英语单词什么意思,这个小的英语单词是什么意思？,1
有哪些关于奥特曼的电影,关于奥特曼系列得都有哪些,1
新生儿落户问题,关于新生儿落户问题,1
破旧的近义词和反义词,这些近义词和反义词怎么写？,0
这是哪个动漫或游戏里的人物,这是什么动漫或游戏的什么人物？,1
奶瓶如何消毒,如何为奶瓶消毒,1
留不住的是什么,留不住是什么,1
绝命岛在线观看,绝命岛高清,0
汽车开暖风为何不暖呢,汽车暖风怎么开,0
这个图片上头发的颜色是什么？,这图片上头发是什么颜色的？,1
推心置腹是什么生肖,推心置腹是什么生肖？,1
求这俩人的动漫出处,这个动漫求出处,1
多语言版本的网站如何做?,做中型网站需要什么必要的语言?,0
什么时候有进击的巨人第二季,进击的巨人第二季什么时候出！,1
什么牌子的弹力素比较好,请问什么牌子的弹力素保湿效果好,0
开一个服装店大概要多少钱?,开一个服装店大概要多少钱,1
有诗意的网名,网名有诗意的。,1
天下足球址是什么呢？,天下足球是哪儿啊？做什么的,0
怎样用积分求体积,定积分求体积,1
求知道此女名字,有谁知道此女叫什么名字吗？,1
现在做什么行业赚钱,现在做什么行业赚钱多些,1
为什么老公总是对我很冷漠,为什么我老公一回来就对我那么冷漠,1
嘿嘿这是什么电影,这是什么电影来着？,1
龙将将魂怎么提高,怎么样提高自己？,0
这双鞋子是什么牌子的？,这双鞋子是哪个牌子的,1
请填写校验框中的信息。,输入短信校验码，点击【确认】,0
求《贵族》天籁纸鸢,求贵族天籁纸鸢,1
苹果手机怎么用万能钥匙,苹果手机万能钥匙怎么用,1
为什么电脑无缘无故死机,我的电脑不知为什么无缘无故死机,1
女生菱形脸适合什么发型,菱形脸适合留什么发型,1
产后怎样减肥,产后怎么减肥？,1
我国四大古典名著是什么,我国的四大古典名著,1
谢文东电视剧怎么不更新了,谢文东电视剧怎么不更新,1
“支付宝卡通”怎么激活,支付宝卡通怎么充值呢,0
荤素兼食是什么意思,荤素兼食什么意思,1
嘴唇怎么变厚好？,嘴唇怎么变厚,1
您是有购买成功的吗？,是有购买成功的吗？,1
我见机行事，是什么意思,见机行事的意思是什么？,1
什么话可以世界通用？,您好，什么话可以全世界通用,1
您好，是今天的24点之前到账的，建议您耐心等待，辛苦您了,您好，就是今天的24点之前到账的，建议您耐心等待，辛苦您了,1
如何自己按摩前列腺_百度拇指医生,前列腺按摩自己如何进行,1
二郎神的印堂，独具只眼猜一生肖,二郎神猜一生肖,0
整蛊是什么意思，来人哦，谢谢,贴吧里说的十五字是什么意思,0
广东理工职业学院好吗？,广东理工职业学院怎么样？中山校区还好吗？,0
很抱歉，为保障您账户的安全，小二是无法帮您操作认证的,很抱歉，为保障您的账户的安全小二是无法帮您操作认证的,1
广东文艺职业学院的住宿怎么样？,广东文艺职业学院有中专的吗？,0
不会的，辛苦您操作一下。,很抱歉，尝试操作一下上传凭证，辛苦您了,0
土豆与鸡蛋能一起吃吗？,土豆和鸡蛋能一起吃吗？,1
天猫分期跟花呗的额度是共用的,天猫分期的额度是跟花呗共用的,1
如何增加微博粉丝量！,微博怎样增加粉丝,1
橱柜哪个牌子好,哪个橱柜牌子好,1
如何推广我的微店？,如何推广微店,1
如何退出微信群,微信怎么退出群,1
快递价格是怎么计算的？,快递的价格一般怎么算,1
求房子设计图,求房子设计图：,1
怎么把自己制作的网页发布到网络上？,怎么将自己的制作的网页连接到网络,1
为什么还不下雪呢？,今天冷不，想穿秋裤的心都有了,0
女生突然不理我了,女生突然不理人了,0
如何微信推广,微信该如何推广,1
疯狂猜明星小时候第九关是谁,疯狂猜明星小时候第88关是谁,0
谁有电影网址？,谁有好的电影网址,1
要什么时候才能回家,什么时候回家啊,1
今年都流行什么女装啊,今年流行什么女装,1
如何联系中央电视台记者？,中央电视台记者咋联系,1
现在做什么小生意好,现在做什么小生意好？,1
鲫鱼是什么鱼,钓鲫鱼用什么好？,0
那两个拼音怎么写？,这两个拼音怎么写,1
类似功夫熊猫的的电影,类似功夫熊猫的电影,1
酱油吃多了会长痣吗,死痛苦吗，怎么样死不疼，,0
三星和小米哪个好,小米和三星哪个好,1
网上有什么好的赚钱项目,网上有什么好赚钱的项目,1
日文怎么打？,围脖怎么打？,0
腾讯公司的老板是谁,腾讯公司老板是谁,1
这个人喜欢我吗？,她喜欢我吗？,0
灵猫电商怎么样？好不好啊？,灵猫电商好不好啊？,1
我的世界进不去,为什么我的世界进不去,0
怎样申请微信号,如何申请微信号,1
来自星星的你，哪有国语版,来自星星的你有国语版的吗？,1
这个是什么软件,谁玩唱吧这个软件？,0
什么牌子的沙发好啊？,什么品牌的沙发比较好,1
上海电力学院的电子信息工程专业怎样?,电力电子工程这个专业怎么样,0
脂肪粒怎么去除呀？,用毛线织的围巾要怎么洗？,0
潜规则是什么意思,潜规则的爱是什么意思,0
菊花一角硬币，有无收藏价值,1991年的一角硬币值得收藏不,0
什么样的女人嫁不出去？,酷跑大狐狸头像什么样？那里多？,0
硬头发男生适合什么发型,男生头发少适合什么发型,0
支付宝和微信支付哪个好,理财通和余额宝哪个好,0
司法鉴定的一些问题,关于司法鉴定的问题,1
好听的背景音乐有哪些？,有哪些韩剧里的背景音乐好听,1
谁知道有一部武侠电视剧,一部很老的武侠电视剧。谁知道,1
梅红色外套怎么搭配,皮甲外套红色怎么搭配,0
哺乳期可以喝咖啡吗？,哺乳期能喝咖啡吗？,1
我下载的图片都在哪里？,S308下载的图片在哪里,0
能发帖子的网站有哪些,哪些网站有发帖子的网站,1
我适合剪莫西干发型吗？,我适合剪莫西干发型么,1
不一样的美男子之我是谁,不一样的美男子什么时候播？,1
怎么样把梳子卖给和尚呢？,怎样把梳子买给和尚？,1
好看的国产电影,最好看的国产电影,1
生存战争语言中文版,生存战争中文版,1
二胎准生证如何办理,如何办理二胎准生证？,1
这个男人什么意思,男人缘什么意思,0
这个衣服穿什么鞋和裤子好看呢,衣服配什么裤子好看,1
自己在家带孩子怎么赚钱,怎样在家看孩子赚钱,1
人与动物交配，会受精吗？,人和什么动物交配才能生子？（不包括人）,0
您好，您的这个账户是没有绑定手机的,这边核实到您的账户是有绑定手机号码的,1
怎样可以去除汗毛,怎样去除汗毛,1
广州租房(急),关于广州租房,1
手指扭到了怎样快速好起来？,手指挤了怎么办？怎样快速消除？,0
刀塔传奇什么时候再更新？,刀塔传奇什么时候更新，,1
怎么样快速提高自己的文学水平，回答具体点？,如何提高自身的文学水平，不上学的情况下,0
三国杀是什么,三国杀是什么？,1
怎么才能洗掉衣服上沾的油漆？,衣服上弄上油漆怎么可以洗掉,1
春节送礼老人送什么好,春节送礼送什么好给老人的。,1
一体机电脑好不好,电脑一体机好不好？,1
有什么好看的小说和电影,有什么好看的电影和小说,1
什么人最阴险？,什么人最阴险,1
求推荐几部电视剧,求大家推荐几部电视剧,1
这公仔叫什么名字,这只公仔叫什么名字,1
求制作起点小说封面,求制作素锦小说封面,0
月什么披星,披星什么月,1
台湾黑道老大是谁,南通黑道老大是谁,0
为什么女人都喜欢穿高跟鞋？,为什么女人都喜欢穿高跟鞋,1
金牛座和白羊座配吗？,女的属鸡男的属狗配吗？,0
女人为什么要穿裙子，请科学回答,为什么女人才可以穿裙子,0
成熟男人的标志是什么,男生心里成熟的标志是什么,1
电子邮件怎么申请,怎么申请电子邮件,1
我的世界好玩吗？,我的世界哪里好玩了,1
谁知道什么新电影？,你知道吗？什么电影？,1
插座用什么牌子好？,什么牌子的插座好,1
您是在这个账户操作的吗？,您是操作的这个账户的吗？,1
天天跑酷跑破解版怎么下载,天天跑酷破解版怎么下载,1
美团怎么退款,美团如何退款,1
历史上真的有姜国吗？,历史上真的有孟姜女这个人吗,0
小便慢怎么回事,我小便疼是怎么回事,0
怎样减肚子和腰上的赘肉,怎么减肚子上的赘肉,0
耐克鞋怎么辨别真假,耐克鞋如何辨别真假？,1
现在最好玩的网页游戏是什么,现在什么网页游戏最好玩,1
咱们结婚吧全集哪里有？,咱们结婚吧全集在哪可以看？,1
怎么登录淘宝,淘宝怎么登录？,1
女朋友突然就不理我了.我到底该怎么办.,女朋友突然不理我了，不知道原因。,1
奔驰宝马奥迪，哪个好啊,宝马奔驰奥迪哪个好啊,1
谁有吾爱破解邀请码,谁有吾爱破解的邀请码？,1
我想和你好好的…,去好好的爱她,0
怎么取消银行卡和支付宝的绑定,怎么解除银行卡和支付宝的绑定,1
我喜欢穿黑色内裤，你们呢，,我喜欢穿黑色的内裤，你们呢,1
脸型微胖的女生适合什么发型。,脸微胖的女生适合什么发型啊！,1
少女时代的什么视频？,少女时代素颜排名那个是什么视频,0
我饿了不会做饭,我不会喝酒呀？,0
支付宝怎么更换手机号码,支付宝绑定的手机号怎么修改,1
内蒙古乱和新疆哪个乱,内蒙古2012高考卷和新疆哪个难,0
关于学习的名言,有关学习的名言,1
中国书法、篆刻和绘画之间有着怎样的联系？,中国书法和篆刻的代表人物、代表作品及其特点,0
防盗门大家都选什么牌子的？,什么牌子的防盗门好,1
金凤凰怎么死的,金凤凰怎么死了啊,1
这个是什么脸型什么字脸,上宽下宽是什么脸型,0
魅族手机好不好？,魅族手机好不好,1
苏教版六年级上册习作六,六年级上册苏教版的习作一,0
菊花的花瓣像什么,菊花开了花瓣像什么,1
魔兽世界云端翔龙骑士团前序任务,魔兽世界云端翔龙骑士团的问题,0
类似于这种图片的,类似于这种图片,1
怎么对付欠钱不还的人,欠钱不还的人怎么对付,1
请问辽宁经济职业技术学院怎么样？,辽宁工程职业学院怎么样？,0
蚂蚁的牙齿是什么颜色的？,蚂蚁的牙齿是什么颜色的？。,1
坐着睡觉放屁,坐着睾丸不舒服,0
百度云怎么上传文件？,怎么用百度云上传文件,1
童鞋是什么意思,童鞋什么意思,1
支付宝密码忘了怎么办？,微信密码忘了怎么办,0
请问这位女优叫什么名字,请问这位女优叫什么名字？,1
真的爱你吉他谱。,真的爱你木吉他谱,1
这个猫什么品种？,我的猫什么品种,1
大智慧和同花顺哪个好啊？,大智慧和同花顺哪个好,1
这是什么鱼(有图,这是什么狗？(有图),0
订牛奶哪个牌子好,牛奶牌子哪个好,1
硬盘是什么？,什么硬盘好,1
三国演义作者,三国演义的作者,1
广东省简称粤的由来,广东省简称什么,0
您好，如您的身份信息没有操作变更的话是不需要修改的,这里帮您创建身份证信息修改的受理单，您填写下可用的邮箱,0
怎么下载短片,怎么下载《我们》短片啊？,0
有好的网络游戏吗？,求最不坑钱的网络游戏,0
《学习家》软件怎么样,学习家软件怎么样,1
怎么逗老婆开心,怎么做才能哄老婆开心呢,1
书读百遍的下一句是什么？,书读百遍下一句昰什么,1
韩栋版鹿鼎记什么时候播,韩栋版鹿鼎记什么时候播出,1
苹果是酸性还是碱性的?,苹果是酸性还是碱性食物,1
信用卡能转账到支付宝吗,支付宝能给信用卡转账吗,0
过年去哪里旅游,过年去哪里旅游好,1
哪里有好的果树苗？,哪里卖果树苗,1
中短发染什么颜色好看？,短发染什么颜色好看、,1
推荐好玩的小游戏！,推荐个好玩的小游戏,1
农业银行网上怎么开通网银,怎么开通农业银行网银,1
字典是什么意思,胜在字典里是什么意思？,0
抑制不住的意思,抑制的意思？,0
是20分钟内给您回电。,钱款将会在3个工作日左右到达您的支付宝账户,0
我有一个天天酷跑号可以卖吗,谁能借我一个天天酷跑号,0
什么是子宫附件？,什么是子宫附件,1
海参怎么吃？,冻海参怎么吃,1
弹弹堂真么升级快,弹弹堂熔炼秘籍,0
梦幻小公主第五季简介,梦幻小公主7有没有,0
双子座就那么让人讨厌么?,双子座的男生在说分手后讨厌女生什么?,0
到哪里开单身证明？,单身证明在哪里开？,1
找一部好看的电影,求一部好看的电影！,1
穿越火线生化酒店踏空跳怎么跳？求教！,穿越火线踏空要拍大师吗?,0
重庆可以种什么水果好,重庆出什么水果,0
巧夺天工什么意思,巧夺天工什么意思？,1
湿疹传染吗，湿疹会不会传染？,请问一下湿疹会不会传染呢？,1
在哪下载电脑版我的世界,我的世界电脑版哪有下载,1
作文这件事真让我高兴,这件事真让我高兴作文,1
天津搬家公司哪家好？怎么选择搬家公司?,如何选择搬家公司？河北燕郊搬家公司哪家好？,0
工作失误检讨书怎么写,工作失误检讨书怎么写？,1
这个女毒贩裤子湿了么,猜这个女毒贩穿什么裤子呀,0
家长对孩子的寄语,女朋友生气了让她听什么歌,0
怀孕四个月还会流产吗,怀孕三个月还容易流产吗,0
百度知道怎么看升级？,百度知道如何升级,1
淘宝买家怎么修改退款金额,淘宝怎么修改退款金额,1
感觉萌萌哒是什么意思,感觉自己萌萌哒什么意思,1
苌苌养的狗叫什么名字？,酷狗叫什么名字,0
乡村爱情故事,乡村爱情故事哈哈,1
怎么在网上订票？,在网上怎么订票,1
是您之前还有账户已经是忘记了吗？淘宝账户还记得吗？,您现在是查看获取记录有记录使用记录没记录么,0
泡温泉有什么好处呢？,泡温泉对老年人有什么好处,1
老想尿尿怎么回事,老想吐怎么回事,0
女生被阿鲁巴什么感觉,女孩下面被舔会是啥感觉呢？,0
电视剧《明若晓溪》什么时候上映,何以笙箫默什么时候播出啊！,0
能推荐几部好看的小说吗？,有什么好看的小说可以推荐给我呢,1
请提供您的证件号码的后8位。,请您提供一下证件的后4位,1
求《战恋雪》的全本，谢谢！,求《庶女谋：妾本惊华》全本谢谢,0
韩束怎么代理？,韩束怎么做代理,1
求姐姐我们恋爱吧动漫,求动漫《姐姐我们来恋爱吧》！,1
问道中妖魔道任务找谁做,史上最坑爹的游戏，咋过，,0
什么零食最好吃,什么零食最好吃？,1
韩信点兵的歇后语是什么？,韩信点兵的歇后语是什么,1
关于家乡的作文,《我的家乡窊流》的作文,1
请把韩文翻译成中文，谢谢啊。,请帮忙翻译一下，谢谢！,0
二级建造师注册需要多长时间,二级建造师注册需要那些证件？,0
人的天敌是什么？,人的弱点是什么？,0
淘宝上买衣服，质量怎么样,淘宝的衣服质量怎么样？,1
什么牌子面膜补水好,什么牌子补水面膜好,1
江苏大学宿舍床桌摆放,江苏大学宿舍,0
要过年了卖点什么好,过年卖点什么吃得好,1
改装车怎么过年检,改装车如何过年检,1
酒吧工作的男的靠谱吗,赶集网找工作靠谱吗,0
那您重新注册一个就可以了,可以的，注销成功后24小时后注册就可以的,0
所以您在支付宝余额中是看不到的,余额宝的话，您可以下载余额宝的近30天账单就可以查询了,0
武汉昙华林在哪,武汉天地在哪?,0
淘宝兼职做什么最赚钱？,淘宝什么兼职最赚钱,1
江淮的汽车怎么样,江淮汽车怎么样啊？,1
如何让皮肤变白,皮肤黄怎么变白,1
如何把电信手机刷成移动,电信手机怎么刷成移动的啊,1
穿越火线怎样开挂啊,穿越火线怎样开挂,1
如何加盟淘宝,怎样加盟淘宝,1
龙与什么生肖相配,好蛇转抓地下鼠是什么生肖,0
哪里有美女图片打包下载?,从哪里打包下载美女图片,1
怎样可以快速的学拼音。,怎样快速学拼音,1
谁懂染发剂什么牌子好啊,什么牌子的染发剂好？,1
晚上睡觉脚出汗是怎么回事,晚上睡觉头出汗是怎么回事,0
钱嘉乐与钱小豪什么关系,钱小豪和钱嘉乐什么关系,1
怎样学好英语音标,怎样才可以学好英语音标啊？,1
谁有生死狙击的号，有尼泊尔的,谁借我生死狙击有尼泊尔的号呀,1
建议您卸载支付宝钱包，重新安装试一下,这边建议您先电脑端操作一下，或是您卸载支付宝钱包重新下载再操作转账尝试。,0
坐月子可以吃什么水果,坐月子可以吃什么水果？,1
还能在长高吗,吃什么可以长高,0
张杰的发型叫什么急,张杰这个是什么发型啊,1
金山电池医生有什么用？,金山电池医生最新版本是什么,0
怎样用手机转账啊？,用支付宝转账，可以用信用卡么？,0
油焖大虾老油怎么熬制,怎样做油闷大虾,0
摩尔庄园土豆号在哪,摩尔庄园土豆号上的云,0
明月几时有！的下一句是什么？,明月何时照我还前一句是什么？,0
我想给女儿起个名字,想给我的女儿起个名字,1
下载手机银行怎么下,怎么下载手机银行,1
禾美显卡怎么样,镭风显卡怎么样,0
陌生人可以相信吗？,陌生人能相信吗？,1
请问，这个图片出自何处？,对呀，请问一下,0
您好余额宝转出是走的交易日.周六周日不是交易日很抱歉.,是这样的，交易关闭或者交易成功都是需要等待下15天后才是操作注销的,0
磨铁中文网邀请码谢谢！,磨铁中文网求邀请链接，求注册！,1
皮卡堂这个发型叫什么,皮卡堂这发型叫什么？,1
求好看的小说,有什么好看的小说么？,1
在学校门口做什么生意好,学校门口做什么生意好呢,1
开个房地产公司,房地产公司名字,0
有没有谁不回家过年的,有没有谁很怕回家过年的？,0
土豆网视频看不了,土豆网的视频播不了,1
甲鱼枪怎样打,怎么杀甲鱼，,0
刘亦菲演了什么好看的电影，用英语怎么写,有没有什么好看的电影,0
填词：陈诗慧,<br>作曲：邓智伟,0
姓佟的女明星三个字的,姓胡的女明星属兔的有哪些,0
小米平板能打电话么？,这个充电宝可以带上飞机吗？,0
北京现代的车怎么样,北京现代怎么样,1
世界上最长的运河是什么？,世界上最长的运河是什么运河,1
有没有好听的粤语歌曲？推荐～谢谢侬。,有没有好听的粤语歌？介绍一下,1
香菜孕妇可以吃吗,孕妇能吃香菜吗,1
成语什么单良,单良打一成语是什么,0
淘宝运费模板怎么设置,淘宝运费模板怎么设置啊？,1
姐姐我不做,我和姐姐…,0
脱毛膏能永久脱毛吗？,什么脱毛膏可以永久脱毛？,1
这是什么标志？,这是什么车标志,0
最强大脑周玮是哪里人,最强大脑周玮哪里人,1
这个图片的情侣头像是什么？,有这个图片的情侣头像吗？,1
适合女生的热门专业有哪些,女生适合的都有哪些专业,1
如何拆笔记本键盘,笔记本键盘膜怎么贴,0
求一部外国搞笑电影,求一部外国搞笑的电影,1
怎么练出腹肌？我女的。,怎么才能练出腹肌来,1
声字加什么偏旁组成新字,史字可以加什么偏旁组成新字,0
这个动漫女孩是谁,动漫这个女的是谁,1
北京工商局注册查询110106013158811,北京工商局注册查询110105007757121,0
下面的图片是出自哪部动漫,请问~下面的图片出自哪部漫画,1
怎么让手指变得又细又长？,如何让手指变得又长又细,1
计算器怎么关？,这个计算器怎么用喔,0
求答案，欢乐猜成语,疯狂猜电视剧，求这个答案,0
小苹果什么意思,你会唱小苹果吗？是什么意思,1
枪神纪激活码怎么搞,枪神纪激活码怎么的啊,1
有人做过生物焊接双眼皮么？效果如何？,做生物焊接双眼皮几天恢复自然？,0
抱歉，您现在是已经认证满了。这个是无法继续认证账户的。,非常抱歉亲，您已经实名效验了，是不能修改认证的信息的,0
怎样降低龟头敏感度,怎样降低龟头敏感度啊？,1
描写英雄人物的成语,描写英雄人物的成语有哪些,1
想给朋友送礼物要送什么？,给朋友送礼物，送什么好？,1
龙可以组什么四字词语,欢什么活什么的四字词语,0
这衣服配牛仔九分裤好还是休闲裤好？,这个鞋子配九分裤可以吗,0
康熙通宝的背面，是什么字？,康熙通宝背面的909是什么字,1
有什么好的去火的产品呢？,有什么好的祛痘疤的产品？,0
鸡肉怎么做最好吃？,这是什么鱼？怎么做才好吃呢？,0
点击财富，点击账户名，点击账户详情进行修改,4、点击【立即查收邮件】，如果没有收到邮件，可点击【重新发送邮件】；,0
为什么步步高的手机那么贵？,平板电脑贵还是笔记本电脑贵,0
求此图片的出处,求此图片出处…,1
亲，支付宝客服是有不同的分工的，我帮你转接到对应客服帮您查询一下,好的，若是，没有到账，您记下对方客服的工号、查询时间我们给您处理,0
收到的那个失败的邮件,请问有没有收到邮件说明申诉失败,0
张杰的哪首歌最好听,张杰哪首歌最好听,1
什么是几何画板,哪个几何画板好？,1
初三数学三角函数值,初三，三角函数，数学,1
吃西餐怎么拿刀叉,吃西餐刀叉怎么拿,1
怎么删除贴吧里的帖子,怎样删除贴吧的帖子,1
这个情况出现多久了呢,您的这个2万的限额是比较高的了呢,0
请推荐一些电视电影更新最快的下载网站。,请推荐一些好的歌曲下载网站,0
女士手表哪个好,什么样的女士手表好,1
淘宝二手交易可以退货吗,淘宝二手交易能退货吗,1
明天买什么股票比较好呢,明天买什么股票可以账,1
现在手机上哪里可以买彩票,手机上哪里可以买彩票,1
非诚勿扰江苏卫视,「江苏卫视非诚勿扰」,1
宠物狗零食人能吃吗?,厘米宠物狗是不是不能吃太多，会长很大？,0
求好看的武侠电视剧,找好看的武侠电视剧,1
上海最近商场有打折活动吗？周年庆啥的。,最近上海有什么好玩的活动么？,0
求一对情侣头像,找一对情侣头像,1
怎样查询建筑物消防员成绩,建筑物消防员成绩查询怎么查啊,1
我想买小米怎么买？,小米四怎么样，,0
为啥都说挖掘机技术哪家强,学挖掘机到底哪家强段子,0
椰子好吃吗？,椰子好吃么？,1
嗯，这样的话，我帮您转接到对应的客服帮您查看具体是什么原因,这边也查询不到具体的失败原因的，这边可以给您回电查询一下具体失败原因吗？,0
微信营销的方法，如何利用微信宣传网站,如何很好的利用微信公众平台做推广,1
亚马逊购物卡怎么用？,亚马逊网购物怎么样？,0
想创业不知道做什么好,我想创业但不是知道做什么？,1
凡客帆布鞋的邮费,凡客诚品帆布鞋怎么样,0
功夫派猴子的最终武器是什么,功夫派猴子50级穿什么装备最好,0
有什么好看的宠文小说,有什么好看的宠文小说吗,1
喝牛奶再吃药可以吗,有一起再看流星雨吗,0
这是什么品种狗狗,这是什么品种的狗狗？趴蹄了吗,1
让人很难理解是什么成语的意思,意思是让人很难理解是什么成语,1
我国古代的四书指的是,我国古代的四书指的是什么？,1
赛尔号闪光皮皮在什么时候出现？,赛尔号闪光皮皮什么时候出现的？,1
红楼梦作者是谁？,红楼梦的作者是谁？,1
长沙天气怎么样,长沙天气怎么样。？,1
兔子为什么喜欢吃胡萝卜,兔子为什么喜欢吃胡萝卜？,1
怀孕多久才想吐,怀孕后多久想吐,1
这是什么牌子的帽子,这是什么牌子帽子,1
孔雀开屏了，美丽的羽毛像什么,孔雀开屏，美丽的羽毛像什么,1
学历怎么填,怎么查学历,0
求凉宫春日系列小说,求凉宫春日系列小说啊},1
怎么隐藏最近在玩,怎样隐藏最近在玩,1
猪脚怎么做好吃,猪脚怎么所好吃,1
九死一生，猜生肖,歇后语：猫捉老鼠狗看狗一,0
淘宝如何取消实名认证,淘宝实名认证怎么取消,1
吴奇隆刘诗诗结婚了吗,吴奇隆和刘诗诗结婚吗？,1
穿越火线费钱吗？,穿越火线很费钱么？,1
请帮我翻译一下这句话,谁帮我翻译一下这句话，,1
